epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.692,1.3009,11.4292,0.5883,0.00643,0.19538,0.00577,0.00323,0.78885,1.84064,0.32154,0.00024543,0.00024543,0.00024543
2,29.2646,0.87418,1.17114,0.34892,0.89349,0.07179,0.0374,0.01844,0.72434,1.21198,0.32772,0.000495,0.000495,0.000495
3,42.705,0.72244,0.9334,0.2576,0.88003,0.13568,0.12322,0.06444,0.60994,1.1107,0.25969,0.000739531,0.000739531,0.000739531
4,56.4579,0.70944,0.80665,0.23851,0.46373,0.29186,0.25352,0.1346,0.57547,0.92961,0.24847,0.000882003,0.000882003,0.000882003
5,70.3445,0.59479,0.79245,0.19223,0.41383,0.36354,0.3386,0.19993,0.50798,0.89001,0.21074,0.000873004,0.000873004,0.000873004
6,83.6435,0.54201,0.74908,0.17711,0.64209,0.42962,0.42668,0.24738,0.60074,0.81235,0.24777,0.000864004,0.000864004,0.000864004
7,97.4451,0.53917,0.73275,0.1709,0.59935,0.57363,0.59623,0.357,0.52311,0.7701,0.20833,0.000855005,0.000855005,0.000855005
8,111.169,0.55809,0.66809,0.16873,0.63006,0.54819,0.59729,0.35139,0.51803,0.79119,0.21735,0.000846006,0.000846006,0.000846006
9,124.526,0.53736,0.63883,0.15881,0.72361,0.63951,0.66206,0.40277,0.49441,0.75458,0.19378,0.000837007,0.000837007,0.000837007
10,138.219,0.54142,0.61523,0.16154,0.70236,0.69906,0.7006,0.42749,0.4909,0.70877,0.194,0.000828008,0.000828008,0.000828008
11,151.697,0.51389,0.60709,0.15785,0.73433,0.66217,0.71531,0.43454,0.47108,0.69833,0.18026,0.000819009,0.000819009,0.000819009
12,165.136,0.51018,0.58299,0.14941,0.6488,0.67175,0.65971,0.39659,0.49564,0.73289,0.19473,0.00081001,0.00081001,0.00081001
13,178.659,0.49293,0.57585,0.15201,0.76684,0.69409,0.74377,0.45738,0.46659,0.67291,0.17921,0.000801011,0.000801011,0.000801011
14,192.346,0.50264,0.56544,0.15212,0.73638,0.66531,0.70774,0.43195,0.48682,0.68604,0.18998,0.000792012,0.000792012,0.000792012
15,205.608,0.48178,0.54887,0.13389,0.69351,0.67758,0.70698,0.43992,0.49972,0.67209,0.19486,0.000783013,0.000783013,0.000783013
16,219.387,0.48357,0.54184,0.14335,0.76993,0.69043,0.73966,0.46472,0.48682,0.66046,0.18824,0.000774013,0.000774013,0.000774013
17,232.891,0.45338,0.52695,0.1365,0.82356,0.67639,0.75455,0.46324,0.49479,0.61149,0.19621,0.000765014,0.000765014,0.000765014
18,246.38,0.48204,0.5436,0.12913,0.78582,0.70201,0.74405,0.46232,0.47403,0.63762,0.18413,0.000756015,0.000756015,0.000756015
19,259.856,0.45931,0.52149,0.12819,0.78894,0.72574,0.75121,0.46856,0.4635,0.6416,0.18195,0.000747016,0.000747016,0.000747016
20,273.353,0.45908,0.53568,0.12515,0.75095,0.67972,0.72655,0.4454,0.49118,0.69565,0.2044,0.000738017,0.000738017,0.000738017
21,287.057,0.4643,0.52339,0.13237,0.76698,0.69469,0.75784,0.46399,0.47473,0.70552,0.18831,0.000729018,0.000729018,0.000729018
22,302.175,0.46955,0.50881,0.12981,0.77704,0.74106,0.75121,0.4749,0.46388,0.66412,0.17921,0.000720019,0.000720019,0.000720019
23,317.899,0.45179,0.5305,0.1283,0.78284,0.70741,0.74546,0.47008,0.47892,0.6639,0.18639,0.00071102,0.00071102,0.00071102
24,333.126,0.44471,0.52067,0.12692,0.76749,0.69453,0.75706,0.48649,0.4824,0.72066,0.19701,0.000702021,0.000702021,0.000702021
25,346.665,0.44551,0.517,0.12413,0.78971,0.71274,0.75578,0.47484,0.47433,0.71594,0.17829,0.000693022,0.000693022,0.000693022
26,360.36,0.43137,0.51734,0.12079,0.79254,0.71032,0.76373,0.48011,0.46806,0.65608,0.17911,0.000684022,0.000684022,0.000684022
27,373.922,0.44173,0.50023,0.12087,0.81609,0.67799,0.75552,0.47557,0.4748,0.62017,0.18273,0.000675023,0.000675023,0.000675023
28,387.418,0.43062,0.49224,0.11981,0.78441,0.7429,0.7732,0.48834,0.478,0.62949,0.18475,0.000666024,0.000666024,0.000666024
29,400.763,0.43148,0.48898,0.12035,0.80815,0.7407,0.78939,0.49356,0.48438,0.60325,0.19198,0.000657025,0.000657025,0.000657025
30,415.711,0.43118,0.48306,0.11605,0.79326,0.74798,0.7784,0.49602,0.46969,0.61314,0.18033,0.000648026,0.000648026,0.000648026
31,430.25,0.42045,0.47726,0.11651,0.82637,0.71265,0.75004,0.49076,0.46665,0.63659,0.18081,0.000639027,0.000639027,0.000639027
32,443.577,0.4163,0.46726,0.1136,0.774,0.68169,0.71266,0.45068,0.49167,0.66529,0.19581,0.000630028,0.000630028,0.000630028
33,456.573,0.40504,0.48288,0.11637,0.81258,0.70032,0.758,0.48659,0.46975,0.65442,0.18091,0.000621029,0.000621029,0.000621029
34,469.955,0.4223,0.46748,0.11512,0.81438,0.67418,0.74228,0.46838,0.4895,0.70414,0.19068,0.00061203,0.00061203,0.00061203
35,484.695,0.41716,0.47137,0.11343,0.80886,0.69306,0.74495,0.47882,0.4849,0.70221,0.18635,0.000603031,0.000603031,0.000603031
36,497.887,0.40438,0.46704,0.11197,0.78799,0.72689,0.76581,0.49562,0.48643,0.61958,0.18248,0.000594031,0.000594031,0.000594031
37,514.16,0.40992,0.45803,0.10781,0.80584,0.73512,0.77812,0.51201,0.47413,0.62805,0.17916,0.000585032,0.000585032,0.000585032
38,541.574,0.40561,0.45699,0.11531,0.78826,0.73704,0.76835,0.48904,0.47982,0.66245,0.17914,0.000576033,0.000576033,0.000576033
39,554.836,0.40051,0.45284,0.1087,0.82325,0.75016,0.79911,0.50675,0.46902,0.65966,0.18154,0.000567034,0.000567034,0.000567034
40,568.116,0.39839,0.45068,0.11057,0.80799,0.74533,0.77636,0.49724,0.47369,0.62912,0.1884,0.000558035,0.000558035,0.000558035
41,581.447,0.39966,0.43695,0.11237,0.79404,0.73251,0.76985,0.49342,0.48534,0.62895,0.18858,0.000549036,0.000549036,0.000549036
42,594.934,0.38869,0.44311,0.10699,0.79909,0.69021,0.73707,0.4627,0.52432,0.61382,0.21461,0.000540037,0.000540037,0.000540037
43,608.216,0.39768,0.44873,0.10695,0.81802,0.66196,0.73848,0.46682,0.4877,0.69069,0.19524,0.000531038,0.000531038,0.000531038
44,621.333,0.39425,0.45376,0.10743,0.79224,0.74621,0.78363,0.49726,0.47345,0.69394,0.18341,0.000522039,0.000522039,0.000522039
45,634.555,0.39132,0.45642,0.1047,0.8044,0.69857,0.73977,0.46563,0.48262,0.65392,0.19202,0.00051304,0.00051304,0.00051304
46,647.596,0.39048,0.44931,0.11117,0.82542,0.73019,0.77452,0.49451,0.47519,0.62336,0.19034,0.00050404,0.00050404,0.00050404
47,660.826,0.37726,0.43616,0.10325,0.82012,0.72353,0.76935,0.48686,0.49166,0.67439,0.19121,0.000495041,0.000495041,0.000495041
