epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9813,1.41892,2.70402,1.30691,0.40965,0.46663,0.40389,0.20713,1.53225,3.28744,1.39561,0.00024543,0.00024543,0.00024543
2,38.7286,1.50544,1.76953,1.33037,0.03976,0.03987,0.01229,0.00978,3.27519,inf,6.10609,0.000495,0.000495,0.000495
3,57.0322,1.53316,1.82682,1.37537,0.49432,0.27536,0.21683,0.11657,1.77256,6.01236,1.85185,0.000739531,0.000739531,0.000739531
4,77.3559,1.56691,1.6785,1.38521,0.23164,0.28324,0.16932,0.09282,1.96158,22.7052,2.05637,0.000882003,0.000882003,0.000882003
5,95.5935,1.53389,1.51522,1.3683,0.29383,0.32484,0.25325,0.13439,1.95236,3.71665,1.94394,0.000873004,0.000873004,0.000873004
6,114.226,1.54756,1.48686,1.42548,0.26308,0.25996,0.19019,0.09871,1.75514,4.73766,1.76285,0.000864004,0.000864004,0.000864004
7,134.192,1.49218,1.45867,1.36402,0.37034,0.47028,0.3144,0.16303,1.72698,2.61514,1.63209,0.000855005,0.000855005,0.000855005
8,154.801,1.52785,1.38377,1.38409,0.41812,0.47063,0.4401,0.25724,1.69219,2.06957,1.61326,0.000846006,0.000846006,0.000846006
9,174.996,1.50801,1.38118,1.36611,0.31958,0.46802,0.3337,0.17029,1.69382,2.4897,1.6388,0.000837007,0.000837007,0.000837007
10,193.043,1.49461,1.34425,1.36297,0.60064,0.42862,0.47915,0.24536,1.67427,2.5937,1.61852,0.000828008,0.000828008,0.000828008
11,209.245,1.42759,1.26955,1.3229,0.6285,0.56506,0.59133,0.33207,1.63717,1.71806,1.58014,0.000819009,0.000819009,0.000819009
12,228.32,1.4218,1.21807,1.3283,0.53548,0.48134,0.50749,0.28143,1.67301,2.30573,1.60026,0.00081001,0.00081001,0.00081001
13,249.19,1.42325,1.21034,1.33788,0.66923,0.56479,0.6344,0.37083,1.59121,1.43568,1.54774,0.000801011,0.000801011,0.000801011
14,271.128,1.38722,1.20765,1.31183,0.64597,0.49667,0.5448,0.32468,1.61383,1.5686,1.54972,0.000792012,0.000792012,0.000792012
15,292.924,1.33725,1.11511,1.26006,0.71662,0.58041,0.64956,0.37712,1.58358,1.33221,1.54801,0.000783013,0.000783013,0.000783013
16,314.498,1.3757,1.13503,1.3096,0.57799,0.54748,0.55027,0.31953,1.63144,1.56394,1.51336,0.000774013,0.000774013,0.000774013
17,336.153,1.28684,1.10461,1.26367,0.66116,0.61073,0.61,0.35233,1.6032,1.3433,1.52854,0.000765014,0.000765014,0.000765014
18,356.26,1.32859,1.08324,1.26516,0.67897,0.57469,0.61224,0.35957,1.52171,1.37349,1.48751,0.000756015,0.000756015,0.000756015
19,374.91,1.29301,1.02271,1.25283,0.65876,0.54532,0.58902,0.33762,1.58265,1.70709,1.50531,0.000747016,0.000747016,0.000747016
